ID,Name,Author,time spent,logged at
13858,KLMF-168,njh84,1d,2020-03-05T14:17:00.000+0000
13858,KLMF-168,mdl262,1d,2020-03-05T21:46:00.000+0000
13857,KLMF-167,mnm54,30m,2020-01-10T04:26:00.000+0000
13857,KLMF-167,csc254,1d,2020-01-10T17:02:00.000+0000
13857,KLMF-167,mnm54,1d 30m,2020-01-10T21:56:00.000+0000
13857,KLMF-167,alb433,1h,2020-01-13T22:00:00.000+0000
13857,KLMF-167,alb433,15m,2020-01-15T01:49:00.000+0000
13839,KLMF-149,bdj25,1d,2020-01-13T22:43:00.000+0000
13837,KLMF-147,bdj25,1d,2020-02-22T17:16:00.000+0000
13836,KLMF-146,mt779,1d 1h,2020-01-07T22:05:00.000+0000
13835,KLMF-145,mt779,1d,2020-01-07T22:04:00.000+0000
13834,KLMF-144,bdj25,1h 30m,2020-02-22T17:16:00.000+0000
13833,KLMF-143,mt779,45m,2020-02-14T21:04:00.000+0000
13832,KLMF-142,bdj25,1h 30m,2020-02-22T17:15:00.000+0000
13831,KLMF-141,mt779,45m,2020-02-14T21:04:00.000+0000
13830,KLMF-140,csc254,45m,2020-02-15T15:58:00.000+0000
13829,KLMF-139,csc254,1h,2020-02-15T15:58:00.000+0000
13828,KLMF-138,csc254,1h,2020-02-15T15:57:00.000+0000
13827,KLMF-137,zmr5,1d 1h,2020-01-14T02:34:00.000+0000
13826,KLMF-136,zmr5,1d 1h,2020-01-14T21:57:00.000+0000
13824,KLMF-134,zmr5,1d,2020-01-15T02:02:00.000+0000
13823,KLMF-133,njh84,6m,2020-02-02T19:59:00.000+0000
13823,KLMF-133,csc254,2h 30m,2020-02-05T14:55:00.000+0000
13822,KLMF-132,njh84,1d,2020-01-23T23:00:00.000+0000
13822,KLMF-132,njh84,1d,2020-01-24T18:00:00.000+0000
13822,KLMF-132,njh84,1d,2020-01-27T18:15:00.000+0000
13822,KLMF-132,njh84,1d,2020-01-28T20:18:00.000+0000
13821,KLMF-131,zmr5,1d,2020-01-17T01:42:00.000+0000
13821,KLMF-131,mt779,1d,2020-01-15T16:14:00.000+0000
13820,KLMF-130,csc254,1h,2020-01-13T21:55:00.000+0000
13820,KLMF-130,mt779,2d 2h,2020-01-13T17:00:00.000+0000
13819,KLMF-129,csc254,1d,2020-01-06T21:06:00.000+0000
13790,KLMF-100,eay9,1d,2020-01-10T22:32:00.000+0000
13790,KLMF-100,eay9,1d,2020-01-15T20:14:00.000+0000
13790,KLMF-100,eay9,27m,2020-01-26T19:48:00.000+0000
13790,KLMF-100,eay9,1h 30m,2020-02-16T16:00:00.000+0000
13790,KLMF-100,mt779,1h 15m,2020-02-22T17:21:00.000+0000
13790,KLMF-100,eay9,1d 2h 15m,2020-03-01T16:00:00.000+0000
13788,KLMF-98,eay9,1h 30m,2020-01-06T23:09:00.000+0000
13788,KLMF-98,eay9,1d,2020-01-10T22:33:00.000+0000
13788,KLMF-98,eay9,1h 30m,2020-02-03T00:42:00.000+0000
13788,KLMF-98,eay9,1d,2020-02-06T16:40:00.000+0000
13787,KLMF-97,eay9,1h 30m,2020-01-06T23:10:00.000+0000
13787,KLMF-97,eay9,2h 15m,2020-01-10T22:34:00.000+0000
13787,KLMF-97,eay9,1h 30m,2020-01-14T20:09:00.000+0000
13787,KLMF-97,eay9,1d 30m,2020-02-06T17:02:00.000+0000
