ID,Name,Time Spent,Aggreagte Time Spent,WorkRatio,AggregateTimeOriginial,original estimate,estimate,Aggregate progress
13863,KLMF-173,,,0,10800.0,10800.0,10800.0,<class 'jira.resources.PropertyHolder'>
13862,KLMF-172,36000.0,36000.0,125,28800.0,28800.0,0.0,<class 'jira.resources.PropertyHolder'>
13861,KLMF-171,59400.0,59400.0,183,32400.0,32400.0,0.0,<class 'jira.resources.PropertyHolder'>
13860,KLMF-170,51300.0,51300.0,203,25200.0,25200.0,10800.0,<class 'jira.resources.PropertyHolder'>
13859,KLMF-169,37800.0,37800.0,175,21600.0,21600.0,0.0,<class 'jira.resources.PropertyHolder'>
13858,KLMF-168,81000.0,81000.0,225,36000.0,36000.0,0.0,<class 'jira.resources.PropertyHolder'>
13857,KLMF-167,29700.0,29700.0,82,36000.0,36000.0,6300.0,<class 'jira.resources.PropertyHolder'>
13840,KLMF-150,,,0,21600.0,21600.0,21600.0,<class 'jira.resources.PropertyHolder'>
13839,KLMF-149,10800.0,10800.0,100,10800.0,10800.0,0.0,<class 'jira.resources.PropertyHolder'>
13838,KLMF-148,,,0,14400.0,14400.0,14400.0,<class 'jira.resources.PropertyHolder'>
13837,KLMF-147,10800.0,10800.0,50,21600.0,21600.0,10800.0,<class 'jira.resources.PropertyHolder'>
13836,KLMF-146,14400.0,14400.0,133,10800.0,10800.0,0.0,<class 'jira.resources.PropertyHolder'>
13835,KLMF-145,10800.0,10800.0,100,10800.0,10800.0,0.0,<class 'jira.resources.PropertyHolder'>
13834,KLMF-144,5400.0,5400.0,75,7200.0,7200.0,1800.0,<class 'jira.resources.PropertyHolder'>
13833,KLMF-143,2700.0,2700.0,75,3600.0,3600.0,900.0,<class 'jira.resources.PropertyHolder'>
13832,KLMF-142,5400.0,5400.0,150,3600.0,3600.0,0.0,<class 'jira.resources.PropertyHolder'>
13831,KLMF-141,2700.0,2700.0,75,3600.0,3600.0,900.0,<class 'jira.resources.PropertyHolder'>
13830,KLMF-140,2700.0,2700.0,75,3600.0,3600.0,0.0,<class 'jira.resources.PropertyHolder'>
13829,KLMF-139,3600.0,3600.0,50,7200.0,7200.0,0.0,<class 'jira.resources.PropertyHolder'>
13828,KLMF-138,3600.0,3600.0,66,5400.0,5400.0,0.0,<class 'jira.resources.PropertyHolder'>
13827,KLMF-137,14400.0,14400.0,200,7200.0,7200.0,0.0,<class 'jira.resources.PropertyHolder'>
13826,KLMF-136,14400.0,14400.0,200,7200.0,7200.0,0.0,<class 'jira.resources.PropertyHolder'>
13825,KLMF-135,,,0,10800.0,10800.0,10800.0,<class 'jira.resources.PropertyHolder'>
13824,KLMF-134,10800.0,10800.0,300,3600.0,3600.0,0.0,<class 'jira.resources.PropertyHolder'>
13823,KLMF-133,9360.0,9360.0,260,3600.0,3600.0,0.0,<class 'jira.resources.PropertyHolder'>
13822,KLMF-132,43200.0,43200.0,200,21600.0,21600.0,0.0,<class 'jira.resources.PropertyHolder'>
13821,KLMF-131,21600.0,21600.0,300,7200.0,7200.0,0.0,<class 'jira.resources.PropertyHolder'>
13820,KLMF-130,32400.0,32400.0,900,3600.0,3600.0,0.0,<class 'jira.resources.PropertyHolder'>
13819,KLMF-129,10800.0,10800.0,50,21600.0,21600.0,0.0,<class 'jira.resources.PropertyHolder'>
13790,KLMF-100,52020.0,52020.0,90,57600.0,57600.0,5580.0,<class 'jira.resources.PropertyHolder'>
13789,KLMF-99,,,0,43200.0,43200.0,43200.0,<class 'jira.resources.PropertyHolder'>
13788,KLMF-98,32400.0,32400.0,90,36000.0,36000.0,0.0,<class 'jira.resources.PropertyHolder'>
13787,KLMF-97,53100.0,53100.0,105,50400.0,50400.0,7200.0,<class 'jira.resources.PropertyHolder'>
13786,KLMF-96,63180.0,63180.0,125,50400.0,50400.0,0.0,<class 'jira.resources.PropertyHolder'>
13785,KLMF-95,,,0,21600.0,21600.0,21600.0,<class 'jira.resources.PropertyHolder'>
13784,KLMF-94,,,0,21600.0,21600.0,21600.0,<class 'jira.resources.PropertyHolder'>
13783,KLMF-93,32400.0,32400.0,180,18000.0,18000.0,0.0,<class 'jira.resources.PropertyHolder'>
13782,KLMF-92,,,0,7200.0,7200.0,7200.0,<class 'jira.resources.PropertyHolder'>
13781,KLMF-91,,,0,18000.0,18000.0,18000.0,<class 'jira.resources.PropertyHolder'>
13780,KLMF-90,21600.0,21600.0,200,10800.0,10800.0,0.0,<class 'jira.resources.PropertyHolder'>
13779,KLMF-89,54000.0,54000.0,300,18000.0,18000.0,0.0,<class 'jira.resources.PropertyHolder'>
13778,KLMF-88,32400.0,32400.0,450,7200.0,7200.0,10800.0,<class 'jira.resources.PropertyHolder'>
13777,KLMF-87,10800.0,10800.0,60,18000.0,18000.0,7200.0,<class 'jira.resources.PropertyHolder'>
13776,KLMF-86,14400.0,14400.0,133,10800.0,10800.0,0.0,<class 'jira.resources.PropertyHolder'>
13775,KLMF-85,,,0,10800.0,10800.0,10800.0,<class 'jira.resources.PropertyHolder'>
13774,KLMF-84,63000.0,63000.0,116,54000.0,54000.0,1800.0,<class 'jira.resources.PropertyHolder'>
13773,KLMF-83,54900.0,54900.0,254,21600.0,21600.0,0.0,<class 'jira.resources.PropertyHolder'>
13772,KLMF-82,30600.0,30600.0,141,21600.0,21600.0,1800.0,<class 'jira.resources.PropertyHolder'>
13771,KLMF-81,46800.0,46800.0,216,21600.0,21600.0,1800.0,<class 'jira.resources.PropertyHolder'>
13760,KLMF-70,43200.0,43200.0,100,43200.0,43200.0,0.0,<class 'jira.resources.PropertyHolder'>
13759,KLMF-69,126000.0,126000.0,194,64800.0,64800.0,0.0,<class 'jira.resources.PropertyHolder'>
13758,KLMF-68,96480.0,96480.0,148,64800.0,64800.0,0.0,<class 'jira.resources.PropertyHolder'>
13756,KLMF-67,30600.0,30600.0,212,14400.0,14400.0,0.0,<class 'jira.resources.PropertyHolder'>
13755,KLMF-66,36000.0,36000.0,250,14400.0,14400.0,0.0,<class 'jira.resources.PropertyHolder'>
13754,KLMF-65,21600.0,21600.0,60,36000.0,36000.0,0.0,<class 'jira.resources.PropertyHolder'>
13753,KLMF-64,82800.0,82800.0,76,108000.0,108000.0,0.0,<class 'jira.resources.PropertyHolder'>
13739,KLMF-50,32400.0,32400.0,60,54000.0,54000.0,54000.0,<class 'jira.resources.PropertyHolder'>
13738,KLMF-49,,,0,3600.0,3600.0,3600.0,<class 'jira.resources.PropertyHolder'>
13737,KLMF-48,,,0,3600.0,3600.0,3600.0,<class 'jira.resources.PropertyHolder'>
13736,KLMF-47,,,0,10800.0,10800.0,10800.0,<class 'jira.resources.PropertyHolder'>
13735,KLMF-46,13500.0,13500.0,75,18000.0,18000.0,4500.0,<class 'jira.resources.PropertyHolder'>
13734,KLMF-45,59400.0,59400.0,412,14400.0,14400.0,0.0,<class 'jira.resources.PropertyHolder'>
13733,KLMF-44,99000.0,99000.0,366,27000.0,27000.0,0.0,<class 'jira.resources.PropertyHolder'>
13715,KLMF-30,,32400.0,-1,54000.0,,,<class 'jira.resources.PropertyHolder'>
13714,KLMF-29,64800.0,64800.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13713,KLMF-28,64800.0,64800.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13712,KLMF-27,75600.0,75600.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13711,KLMF-26,99000.0,99000.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13708,KLMF-23,64800.0,64800.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13707,KLMF-22,70200.0,70200.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13706,KLMF-21,100800.0,100800.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13704,KLMF-19,86400.0,86400.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13703,KLMF-18,108000.0,108000.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13702,KLMF-17,111600.0,111600.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13701,KLMF-16,118800.0,118800.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13700,KLMF-15,0.0,1087200.0,-1,,,28800.0,<class 'jira.resources.PropertyHolder'>
13613,KLMF-14,,,-1,,,,<class 'jira.resources.PropertyHolder'>
13612,KLMF-13,,,-1,,,,<class 'jira.resources.PropertyHolder'>
13610,KLMF-11,,295200.0,-1,198000.0,,,<class 'jira.resources.PropertyHolder'>
13609,KLMF-10,,97200.0,-1,,,,<class 'jira.resources.PropertyHolder'>
13608,KLMF-9,,171900.0,-1,77400.0,,,<class 'jira.resources.PropertyHolder'>
13607,KLMF-8,,265680.0,-1,172800.0,,,<class 'jira.resources.PropertyHolder'>
13606,KLMF-7,,81000.0,-1,32400.0,,,<class 'jira.resources.PropertyHolder'>
13605,KLMF-6,,165600.0,-1,108000.0,,,<class 'jira.resources.PropertyHolder'>
13604,KLMF-5,,156960.0,-1,86400.0,,,<class 'jira.resources.PropertyHolder'>
13603,KLMF-4,,105300.0,-1,124200.0,,,<class 'jira.resources.PropertyHolder'>
13602,KLMF-3,,171000.0,-1,172800.0,,,<class 'jira.resources.PropertyHolder'>
13601,KLMF-2,,227880.0,-1,318600.0,,,<class 'jira.resources.PropertyHolder'>
13600,KLMF-1,,234000.0,-1,172800.0,,,<class 'jira.resources.PropertyHolder'>
