ID,Name,Time Spent,Aggreagte Time Spent,WorkRatio,AggregateTimeOriginial,original estimate,estimate,Aggregate progress
13883,KLMF-193,5400.0,5400.0,9223372036854775807,0.0,0.0,0.0,<class 'jira.resources.PropertyHolder'>
13882,KLMF-192,,,0,0.0,0.0,0.0,<class 'jira.resources.PropertyHolder'>
13881,KLMF-191,5400.0,5400.0,9223372036854775807,0.0,0.0,0.0,<class 'jira.resources.PropertyHolder'>
13880,KLMF-190,32400.0,32400.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13879,KLMF-189,13500.0,13500.0,62,21600.0,21600.0,8100.0,<class 'jira.resources.PropertyHolder'>
13878,KLMF-188,41940.0,41940.0,194,21600.0,21600.0,0.0,<class 'jira.resources.PropertyHolder'>
13876,KLMF-186,13680.0,13680.0,84,16200.0,16200.0,0.0,<class 'jira.resources.PropertyHolder'>
13875,KLMF-185,51300.0,51300.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13874,KLMF-184,45900.0,45900.0,-1,,,0.0,<class 'jira.resources.PropertyHolder'>
13873,KLMF-183,8100.0,8100.0,75,10800.0,10800.0,2700.0,<class 'jira.resources.PropertyHolder'>
13872,KLMF-182,5400.0,5400.0,50,10800.0,10800.0,5400.0,<class 'jira.resources.PropertyHolder'>
13871,KLMF-181,5400.0,5400.0,75,7200.0,7200.0,0.0,<class 'jira.resources.PropertyHolder'>
13870,KLMF-180,6300.0,6300.0,87,7200.0,7200.0,0.0,<class 'jira.resources.PropertyHolder'>
13869,KLMF-179,,67140.0,-1,57600.0,,,<class 'jira.resources.PropertyHolder'>
13868,KLMF-178,122400.0,122400.0,-1,,,18000.0,<class 'jira.resources.PropertyHolder'>
13867,KLMF-177,,,-1,,,,<class 'jira.resources.PropertyHolder'>
13866,KLMF-176,70200.0,70200.0,216,32400.0,32400.0,0.0,<class 'jira.resources.PropertyHolder'>
13865,KLMF-175,38700.0,38700.0,89,43200.0,43200.0,0.0,<class 'jira.resources.PropertyHolder'>
13864,KLMF-174,,,0,7200.0,7200.0,7200.0,<class 'jira.resources.PropertyHolder'>
