alb433,alb433 logged at,bdj25,bdj25 logged at,csc254,csc254 logged at,zmr5,zmr5 logged at,eay9,eay9 logged at,bz297,bz297 logged at,mb2343,mb2343 logged at,mt779,mt779 logged at,mnm54,mnm54 logged at,jb974,jb974 logged at,cep89,cep89 logged at,bpm74,bpm74 logged at,kan57,kan57 logged at
26.25,2019-03-02T19:58:00.000+0000,36.0,2019-03-02T16:21:00.000+0000,12.5,2019-01-10T15:23:00.000+0000,27.5,2019-01-11T17:15:00.000+0000,26.5,2019-01-16T17:55:00.000+0000,38.0,2019-02-14T19:26:00.000+0000,57.0,2019-01-20T03:18:00.000+0000,27.5,2019-01-18T17:02:00.000+0000,48.0,2019-03-02T23:29:00.000+0000,,,24.016666666666666,2019-01-17T02:05:00.000+0000,,,,
26.75,2019-03-02T19:58:00.000+0000,39.0,2019-03-06T01:47:00.000+0000,14.5,2019-01-10T16:59:00.000+0000,31.5,2019-01-12T22:10:00.000+0000,27.0,2019-01-17T22:07:00.000+0000,41.0,2019-02-15T21:11:00.000+0000,60.0,2019-01-20T03:27:00.000+0000,29.5,2019-01-19T18:00:00.000+0000,51.0,2019-03-05T02:07:00.000+0000,,,27.016666666666666,2019-01-17T21:59:00.000+0000,,,,
27.0,2019-03-08T19:16:00.000+0000,42.0,2019-03-20T01:05:00.000+0000,15.25,2019-01-10T20:34:00.000+0000,33.5,2019-01-14T21:59:00.000+0000,30.0,2019-01-18T03:05:00.000+0000,44.0,2019-03-02T08:08:00.000+0000,60.5,2019-01-30T00:41:00.000+0000,31.5,2019-01-30T20:47:00.000+0000,53.0,2019-03-05T16:42:00.000+0000,,,27.766666666666666,2019-01-17T22:01:00.000+0000,,,,
27.5,2019-03-09T15:31:00.000+0000,43.0,2019-03-20T01:06:00.000+0000,17.25,2019-01-11T16:11:00.000+0000,34.5,2019-01-14T21:59:00.000+0000,30.5,2019-01-23T19:17:00.000+0000,47.0,2019-03-02T08:10:00.000+0000,61.5,2019-02-03T10:10:00.000+0000,34.5,2019-01-31T18:00:00.000+0000,56.0,2019-03-06T03:14:00.000+0000,,,31.766666666666666,2019-01-18T22:51:00.000+0000,,,,
28.0,2019-03-09T15:33:00.000+0000,46.0,2019-03-20T01:06:00.000+0000,21.25,2019-01-11T22:04:00.000+0000,35.5,2019-01-15T21:59:00.000+0000,30.516666666666666,2019-01-24T16:15:00.000+0000,50.0,2019-03-03T08:07:00.000+0000,64.5,2019-02-03T10:11:00.000+0000,35.0,2019-02-07T23:00:00.000+0000,59.0,2019-03-07T02:29:00.000+0000,,,32.21666666666667,2019-01-19T15:57:00.000+0000,,,,
28.55,2019-03-10T19:33:00.000+0000,47.0,2019-03-23T03:27:00.000+0000,24.25,2019-01-12T22:24:00.000+0000,36.5,2019-01-15T22:00:00.000+0000,33.516666666666666,2019-01-25T19:18:00.000+0000,53.0,2019-03-21T04:12:00.000+0000,65.5,2019-02-03T10:11:00.000+0000,35.5,2019-02-09T18:49:00.000+0000,61.0,2019-03-07T18:16:00.000+0000,,,33.21666666666667,2019-01-19T15:58:00.000+0000,,,,
28.6,2019-03-10T19:34:00.000+0000,48.0,2019-03-23T03:29:00.000+0000,24.75,2019-01-14T19:06:00.000+0000,39.5,2019-01-16T01:54:00.000+0000,34.016666666666666,2019-01-30T00:42:00.000+0000,56.0,2019-03-24T01:43:00.000+0000,66.5,2019-02-03T10:12:00.000+0000,36.0,2019-02-12T18:49:00.000+0000,64.0,2019-03-14T21:35:00.000+0000,,,36.21666666666667,2019-02-01T04:44:00.000+0000,,,,
31.6,2019-03-15T01:00:00.000+0000,51.0,2019-03-23T19:21:00.000+0000,25.25,2019-01-15T21:56:00.000+0000,41.5,2019-01-16T16:45:00.000+0000,37.016666666666666,2019-02-09T13:37:00.000+0000,59.0,2019-03-24T01:44:00.000+0000,69.5,2019-02-08T17:13:00.000+0000,39.0,2019-02-15T02:05:00.000+0000,67.0,2019-03-20T02:07:00.000+0000,,,43.21666666666667,2019-02-08T21:53:00.000+0000,,,,
32.1,2019-03-16T22:22:00.000+0000,55.0,2019-04-12T01:38:00.000+0000,28.25,2019-01-16T17:55:00.000+0000,42.5,2019-01-16T16:46:00.000+0000,40.016666666666666,2019-02-11T15:49:00.000+0000,62.0,2019-03-24T01:45:00.000+0000,71.5,2019-02-10T19:23:00.000+0000,39.5,2019-02-16T18:00:00.000+0000,70.0,2019-03-27T02:19:00.000+0000,,,43.550000000000004,2019-02-10T01:07:00.000+0000,,,,
32.2,2019-03-18T18:05:00.000+0000,,,28.416666666666668,2019-01-16T20:03:00.000+0000,45.5,2019-01-16T22:01:00.000+0000,40.266666666666666,2019-02-16T02:21:00.000+0000,65.0,2019-03-28T20:36:00.000+0000,76.5,2019-02-10T19:24:00.000+0000,40.0,2019-02-19T02:07:00.000+0000,73.0,2019-03-29T01:57:00.000+0000,,,46.550000000000004,2019-02-11T22:27:00.000+0000,,,,
